2024-06-16_20:38:35.047 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2024-06-16_20:38:35.091 [restartedMain] INFO  c.l.m.webapp.MovieReviewsApplication - Starting MovieReviewsApplication using Java 17.0.9 with PID 1948 (C:\Users\Utente\da_chiavetta\movie_reviews_05082023\movie-reviews\movie-reviews-webapp\target\classes started by Luca in C:\Users\Utente\da_chiavetta\movie_reviews_05082023\movie-reviews\movie-reviews-webapp)
2024-06-16_20:38:35.092 [restartedMain] INFO  c.l.m.webapp.MovieReviewsApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-16_20:38:35.133 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-16_20:38:35.134 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-16_20:38:35.627 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-16_20:38:35.682 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 46 ms. Found 8 JPA repository interfaces.
2024-06-16_20:38:36.426 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-06-16_20:38:36.435 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-06-16_20:38:36.436 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-06-16_20:38:36.436 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.4]
2024-06-16_20:38:36.502 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-16_20:38:36.504 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1368 ms
2024-06-16_20:38:36.541 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-06-16_20:38:36.685 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@669326d3
2024-06-16_20:38:36.686 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-06-16_20:38:36.730 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-06-16_20:38:36.776 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.6.Final
2024-06-16_20:38:36.950 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
2024-06-16_20:38:37.117 [restartedMain] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2024-06-16_20:38:37.848 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-06-16_20:38:37.854 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-06-16_20:38:38.619 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-06-16_20:38:38.848 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5ed98092, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@267bee09, org.springframework.security.web.context.SecurityContextHolderFilter@2c5d9dcd, org.springframework.security.web.header.HeaderWriterFilter@41b7e041, org.springframework.web.filter.CorsFilter@4555158d, org.springframework.security.web.authentication.logout.LogoutFilter@1c108b0, com.luca.moviereviews.webapp.config.JwtAuthenticationFilter@4623b688, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7b9a7d20, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@be89a76, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@996714c, org.springframework.security.web.session.SessionManagementFilter@617a38b8, org.springframework.security.web.access.ExceptionTranslationFilter@2171b1a9, org.springframework.security.web.access.intercept.AuthorizationFilter@7661c77f]
2024-06-16_20:38:39.024 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-06-16_20:38:39.034 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-06-16_20:38:39.054 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-06-16_20:38:39.060 [restartedMain] INFO  c.l.m.webapp.MovieReviewsApplication - Started MovieReviewsApplication in 4.275 seconds (process running for 4.712)
